# SMART RAG-READY CHUNKS
# Format: ID|LEVEL|SECTION|PARENT|TOKENS|HASH|CONTENT

section_47_P11|parent|section_47|ROOT|261|37cc25ec|assigned to the EPS bearers in the PDN connection. Upon reception of a downlink data packet, the PDN GW evaluates\nfor a match, first the downlink packet filter that has the lowest evaluation precedence index and, if no match is found,\nproceeds with the evaluation of downlink packet filters in increasing order of their evaluation precedence index. This\nprocedure shall be executed until a match is found, in which case the downlink data packet is tunnelled to the Serving\nGW on the EPS bearer that is associated with the TFT of the matching downlink packet filter. If no match is found, the\ndownlink data packet shall be sent via the EPS bearer that does not have any TFT assigned. If all EPS bearers\n(including the default EPS bearer for that PDN) have been assigned a TFT, the PDN GW shall discard the downlink\ndata packet\nThe EPS bearer QoS profile includes the parameters QCI, ARP, GBR and MBR, described in this clause. This clause\nalso describes QoS parameters which are applied to an aggregated set of EPS Bearers: APN-AMBR and UE-AMBR.
section_47_P12|parent|section_47|ROOT|166|23ffe066|gregated set of EPS Bearers: APN-AMBR and UE-AMBR. Each EPS bearer (GBR and Non-GBR) is associated with the following bearer level QoS parameters:\n- QoS Class Identifier (QCI);\n- Allocation and Retention Priority (ARP). A QCI is a scalar that is used as a reference to access node-specific parameters that control bearer level packet\nforwarding treatment (e.g. scheduling weights, admission thresholds, queue management thresholds, link layer protocol\nconfiguration, etc.), and that have been pre-configured by the operator owning the access node (e.g. eNodeB). A one-toone mapping of standardized QCI values to standardized characteristics is captured in TS 23.203
section_47_P1_C1|child|section_47|section_47_P1|66|7a6ef738|Overall QoS concept\n4.7.1 PDN (Packet Data Network (internet)) connectivity service\nThe Evolved Packet System provides connectivity between a UE (User Equipment (mobile device)) and a PLMN external packet data network. This is\nreferred to as PDN Connectivity Service.
section_47_P1_C2|child|section_47|section_47_P1|94|7a6ef738|. This is\nreferred to as PDN Connectivity Service. The IP PDN Connectivity Service supports the transport of traffic flow aggregate(s), consisting of one or more Service\nData Flows (SDFs). NOTE: The concept of SDF is defined in the context of PCC (Policy And Charging Control), TS 23.203 [6], and is not explicitly visible in the\nNAS (Non-Access Stratum (signaling)) signalling.
section_47_P1_C3|child|section_47|section_47_P1|115|7a6ef738|e\nNAS (Non-Access Stratum (signaling)) signalling. A PDN connection to an SCEF has the following characteristics:\n- It is only supported for WB-EUTRA (Evolved Universal Terrestrial Radio Access), LTE-M and NB-IoT (Internet of Things) RAT types;\n- It applies only when Control Plane CIoT EPS (Evolved Packet System (LTE core)) Optimisation are applicable;\n- It does not support the transport of traffic flow aggregate(s);\n- It does not support Emergency Services.
section_47_P2_C1|child|section_47|section_47_P2|86|4052ee15|gate(s);\n- It does not support Emergency Services. The EPS bearer\nThe EPS bearer in general\nFor E-UTRAN access to the EPC (Evolved Packet Core) the PDN connectivity service is provided by an EPS bearer for GTP-based S5/S8, and\nif IP is in use, by an EPS bearer concatenated with IP connectivity between Serving GW and PDN GW for PMIP-based\nS5/S8.
section_47_P2_C2|child|section_47|section_47_P2|100|4052ee15|etween Serving GW and PDN GW for PMIP-based\nS5/S8. In this release of the specifications, dedicated bearers are only supported for the IP PDN Connectivity Service. When User Plane (S1-U) is used for data traffic, then an EPS bearer uniquely identifies traffic flows that receive a\ncommon QoS treatment between a UE and a PDN GW for GTP-based S5/S8, and between UE and Serving GW for\nPMIP-based S5/S8.
section_47_P2_C3|child|section_47|section_47_P2|85|4052ee15|nd between UE and Serving GW for\nPMIP-based S5/S8. The packet filters signalled in the NAS procedures are associated with a unique packet filter\nidentifier on per-PDN connection basis. NOTE 1: The EPS Bearer Identity together with the packet filter identifier is used to reference which packet filter\nthe UE intends to modify or delete, i.e.
section_47_P2_C4|child|section_47|section_47_P2|50|4052ee15|et filter\nthe UE intends to modify or delete, i.e. it is used to implement the unique packet filter identifier. An EPS bearer is the level of granularity for bearer level QoS control in the EPC/E-UTRAN.
section_47_P3_C1|child|section_47|section_47_P3|92|313d3408|y for bearer level QoS control in the EPC/E-UTRAN. That is, all traffic mapped\nto the same EPS bearer receive the same bearer level packet forwarding treatment (e.g. scheduling policy, queue\nmanagement policy, rate shaping policy, RLC (Radio Link Control) configuration, etc.). Providing different bearer level packet forwarding\ntreatment requires separate EPS bearers.
section_47_P3_C2|child|section_47|section_47_P3|67|313d3408|orwarding\ntreatment requires separate EPS bearers. NOTE 2: In addition but independent to bearer level QoS control, the PCC framework allows an optional\nenforcement of service level QoS control on the granularity of SDFs independent of the mapping of SDFs\nto EPS bearers.
section_47_P3_C3|child|section_47|section_47_P3|74|313d3408|independent of the mapping of SDFs\nto EPS bearers. One EPS bearer is established when the UE connects to a PDN, and that remains established throughout the lifetime of\nthe PDN connection to provide the UE with always-on IP connectivity to that PDN. That bearer is referred to as the\ndefault bearer.
section_47_P3_C4|child|section_47|section_47_P3|97|313d3408|That bearer is referred to as the\ndefault bearer. Any additional EPS bearer that is established for the same PDN connection is referred to as a dedicated\nbearer. The EPS bearer traffic flow template (TFT (Traffic Flow Template)) is the set of all packet filters associated with that EPS bearer. An UpLink\nTraffic Flow Template (UL (Up Link) TFT) is the set of uplink packet filters in a TFT.
section_47_P4_C1|child|section_47|section_47_P4|83|100c9cfd|TFT) is the set of uplink packet filters in a TFT. A DownLink Traffic Flow Template (DL\nTFT) is the set of downlink packet filters in a TFT. Every dedicated EPS bearer is associated with a TFT. A TFT may\nbe also assigned to the default EPS bearer. The UE uses the UL TFT for mapping traffic to an EPS bearer in the uplink\ndirection.
section_47_P4_C2|child|section_47|section_47_P4|91|100c9cfd|traffic to an EPS bearer in the uplink\ndirection. The PCEF (for GTP-based S5/S8) or the BBERF (for PMIP-based S5/S8) uses the DL TFT for mapping\ntraffic to an EPS bearer in the downlink direction. The UE may use the UL TFT and DL TFT to associate EPS Bearer\nActivation or Modification procedures to an application and to traffic flow aggregates of the application.
section_47_P4_C3|child|section_47|section_47_P4|76|100c9cfd|and to traffic flow aggregates of the application. Therefore the\nPDN GW shall, in the Create Dedicated Bearer Request and the Update Bearer Request messages, provide all available\ntraffic flow description information (e.g. source and destination IP address and port numbers and the protocol\ninformation).
section_47_P4_C4|child|section_47|section_47_P4|54|100c9cfd|ss and port numbers and the protocol\ninformation). For the UE, the evaluation precedence order of the packet filters making up the UL TFTs is signalled from the P-GW to\nthe UE as part of any appropriate TFT operations.
section_47_P5_C1|child|section_47|section_47_P5|60|0b7f1401|the UE as part of any appropriate TFT operations. NOTE 3: The evaluation precedence index of the packet filters associated with the default bearer, in relation to\nthose associated with the dedicated bearers, is up to operator configuration.
section_47_P5_C2|child|section_47|section_47_P5|71|0b7f1401|edicated bearers, is up to operator configuration. It is possible to "force"\ncertain traffic onto the default bearer by setting the evaluation precedence index of the corresponding\nfilters to a value that is lower than the values used for filters associated with the dedicated bearers.
section_47_P5_C3|child|section_47|section_47_P5|119|0b7f1401|for filters associated with the dedicated bearers. A TFT of an uplink unidirectional EPS bearer is only associated with UL packet filter(s) that matches the uplink\nunidirectional traffic flow(s) A TFT of a downlink unidirectional EPS bearer is associated with DL packet filter(s) that\nmatches the unidirectional traffic flow(s) and a UL packet filter that effectively disallows any useful packet flows (see\nclause 15.3.3.4 in TS 23.060 [7] for an example of such packet filter.
section_47_P5_C4|child|section_47|section_47_P5|45|0b7f1401|S 23.060 [7] for an example of such packet filter. The UE routes uplink packets to the different EPS bearers based on uplink packet filters in the TFTs assigned to these\nEPS bearers.
section_47_P6_C1|child|section_47|section_47_P6|78|52a827e3|filters in the TFTs assigned to these\nEPS bearers. The UE evaluates for a match, first the uplink packet filter amongst all TFTs that has the lowest evaluation\nprecedence index and, if no match is found, proceeds with the evaluation of uplink packet filters in increasing order of\ntheir evaluation precedence index.
section_47_P6_C2|child|section_47|section_47_P6|75|52a827e3|easing order of\ntheir evaluation precedence index. This procedure shall be executed until a match is found or all uplink packet filters\nhave been evaluated. If a match is found, the uplink data packet is transmitted on the EPS bearer that is associated with\nthe TFT of the matching uplink packet filter.
section_47_P6_C3|child|section_47|section_47_P6|86|52a827e3|with\nthe TFT of the matching uplink packet filter. If no match is found, the uplink data packet shall be sent via the EPS\nbearer that has not been assigned any uplink packet filter. If all EPS bearers (including the default EPS bearer for that\nPDN) have been assigned one or more uplink packet filters, the UE shall discard the uplink data packet.
section_47_P6_C4|child|section_47|section_47_P6|87|52a827e3|ters, the UE shall discard the uplink data packet. NOTE 4: The above algorithm implies that there is at most one EPS bearer without any uplink packet filter. Therefore, some UEs may expect that during the lifetime of a PDN connection (where only network has\nprovided TFT packet filters) at most one EPS bearer exists without any uplink packet filter.
section_47_P7_C1|child|section_47|section_47_P7|12|271ab646|PS bearer exists without any uplink packet filter.
section_47_P7_C2|child|section_47|section_47_P7|132|271ab646|PS bearer exists without any uplink packet filter. To ensure that at most one EPS bearer exists without any uplink packet filter, the PCEF (for GTP-based S5/S8) or the\nBBERF (for PMIP-based S5/S8) maintains a valid state for the TFT settings of the PDN connection as defined in\nclause 15.3.0 of TS 23.060 [7] and if necessary, adds a packet filter which effectively disallows any useful packet flows\nin uplink direction (see clause 15.3.3.4 in TS 23.060 [7] for an example of such a packet filter) to the TFT of a\ndedicated bearer.
section_47_P7_C3|child|section_47|section_47_P7|69|271ab646|a packet filter) to the TFT of a\ndedicated bearer. NOTE 5: The default bearer is the only bearer that may be without any uplink packet filter and thus, a packet filter\nwhich effectively disallows any useful packet flows in uplink direction will not be added by the\nPCEF/BBERF.
section_47_P7_C4|child|section_47|section_47_P7|88|271ab646|ink direction will not be added by the\nPCEF/BBERF. The initial bearer level QoS parameter values of the default bearer are assigned by the network, based on subscription\ndata (in E-UTRAN the MME (Mobility Management Entity (core network)) sets those initial values based on subscription data retrieved from HSS (Home Subscriber Server (user database))).
section_47_P8_C1|child|section_47|section_47_P8|62|c1fdaa54|rom HSS (Home Subscriber Server (user database))). In a non-roaming scenario, the PCEF may change the QoS parameter value received from the MME based on\ninteraction with the PCRF (Policy and Charging Rules Function) or based on local configuration.
section_47_P8_C2|child|section_47|section_47_P8|59|c1fdaa54|g Rules Function) or based on local configuration. When the PCEF changes those values, the MME shall use\nthe bearer level QoS parameter values received on the S11 reference point during establishment or modification of the\ndefault bearer.
section_47_P8_C3|child|section_47|section_47_P8|80|c1fdaa54|tablishment or modification of the\ndefault bearer. In a roaming scenario, based on local configuration, the MME may downgrade the ARP or APN (Access Point Name (network gateway))-AMBR and/or remap\nQCI (QoS Class Identifier (service quality)) parameter values received from HSS to the value locally configured in MME (e.g.
section_47_P8_C4|child|section_47|section_47_P8|35|c1fdaa54|m HSS to the value locally configured in MME (e.g. when the values received from\nHSS do not comply with services provided by the visited PLMN).
section_47_P9_C1|child|section_47|section_47_P9|12|2191a5c8|omply with services provided by the visited PLMN).
section_47_P9_C2|child|section_47|section_47_P9|122|2191a5c8|omply with services provided by the visited PLMN). The PCEF may change the QoS parameter values\nAn EPS bearer is realized by the following elements:\n- In the UE, the UL TFT maps a traffic flow aggregate to an EPS bearer in the uplink direction;\n- In the PDN GW, the DL TFT maps a traffic flow aggregate to an EPS bearer in the downlink direction;\n- A radio bearer (defined in TS 36.300 [5]) transports the packets of an EPS bearer between a UE and an eNodeB (Evolved Node B (base station)).
section_47_P9_C3|child|section_47|section_47_P9|97|2191a5c8|UE and an eNodeB (Evolved Node B (base station)). If a radio bearer exists, there is a one-to-one mapping between an EPS bearer and this radio bearer;\n- An S1 bearer transports the packets of an EPS bearer between an eNodeB and a Serving GW;\n- An E-RAB (E-UTRAN Radio Access Bearer) refers to the concatenation of an S1 bearer and the corresponding\nradio bearer, as defined in TS 36.300 [5].
section_47_P10_C1|child|section_47|section_47_P10|12|79bc9d64|ponding\nradio bearer, as defined in TS 36.300 [5].
section_47_P10_C2|child|section_47|section_47_P10|208|79bc9d64|ponding\nradio bearer, as defined in TS 36.300 [5]. - An S5/S8 bearer transports the packets of an EPS bearer between a Serving GW and a PDN GW;\n- A UE stores a mapping between an uplink packet filter and a radio bearer to create the mapping between a traffic\nflow aggregate and a radio bearer in the uplink;\n- A PDN GW stores a mapping between a downlink packet filter and an S5/S8 bearer to create the mapping\nbetween a traffic flow aggregate and an S5/S8 bearer in the downlink;\n- An eNodeB stores a one-to-one mapping between a radio bearer and an S1 Bearer to create the mapping between\na radio bearer and an S1 bearer in both the uplink and downlink;\n- A Serving GW stores a one-to-one mapping between an S1 Bearer and an S5/S8 bearer to create the mapping\nbetween an S1 bearer and an S5/S8 bearer in both the uplink and downlink.
section_47_P10_C3|child|section_47|section_47_P10|53|79bc9d64|d an S5/S8 bearer in both the uplink and downlink. The PDN GW routes downlink packets to the different EPS bearers based on the downlink packet filters in the TFTs\nassigned to the EPS bearers in the PDN connection.
section_47_P11_C1|child|section_47|section_47_P11|87|37cc25ec|assigned to the EPS bearers in the PDN connection. Upon reception of a downlink data packet, the PDN GW evaluates\nfor a match, first the downlink packet filter that has the lowest evaluation precedence index and, if no match is found,\nproceeds with the evaluation of downlink packet filters in increasing order of their evaluation precedence index.
section_47_P11_C2|child|section_47|section_47_P11|96|37cc25ec|easing order of their evaluation precedence index. This\nprocedure shall be executed until a match is found, in which case the downlink data packet is tunnelled to the Serving\nGW on the EPS bearer that is associated with the TFT of the matching downlink packet filter. If no match is found, the\ndownlink data packet shall be sent via the EPS bearer that does not have any TFT assigned.
section_47_P11_C3|child|section_47|section_47_P11|73|37cc25ec|he EPS bearer that does not have any TFT assigned. If all EPS bearers\n(including the default EPS bearer for that PDN) have been assigned a TFT, the PDN GW shall discard the downlink\ndata packet\nThe EPS bearer QoS profile includes the parameters QCI, ARP, GBR and MBR, described in this clause.
section_47_P11_C4|child|section_47|section_47_P11|42|37cc25ec|s QCI, ARP, GBR and MBR, described in this clause. This clause\nalso describes QoS parameters which are applied to an aggregated set of EPS Bearers: APN-AMBR and UE-AMBR.
section_47_P12_C1|child|section_47|section_47_P12|90|23ffe066|gregated set of EPS Bearers: APN-AMBR and UE-AMBR. Each EPS bearer (GBR and Non-GBR) is associated with the following bearer level QoS parameters:\n- QoS Class Identifier (QCI);\n- Allocation and Retention Priority (ARP). A QCI is a scalar that is used as a reference to access node-specific parameters that control bearer level packet\nforwarding treatment (e.g.
section_47_P12_C2|child|section_47|section_47_P12|88|23ffe066|rol bearer level packet\nforwarding treatment (e.g. scheduling weights, admission thresholds, queue management thresholds, link layer protocol\nconfiguration, etc.), and that have been pre-configured by the operator owning the access node (e.g. eNodeB). A one-toone mapping of standardized QCI values to standardized characteristics is captured in TS 23.203
section_53_P1|parent|section_53|ROOT|269|53a89cf5|Initial Attachment LTE E-UTRAN\nA UE (User Equipment (mobile device))/user needs to register with the network to receive services that require registration. This registration is described\nas Network Attachment. The always-on IP connectivity for UE/users of the EPS (Evolved Packet System (LTE core)) may be enabled by establishing a\ndefault EPS bearer during Network Attachment. The PCC (Policy And Charging Control) rules applied to the default EPS bearer may be predefined in\nthe PDN (Packet Data Network (internet)) GW and activated in the attachment by the PDN GW itself. The Attach procedure may trigger one or multiple\nDedicated Bearer Establishment procedures to establish dedicated EPS bearer(s) for that UE. During the attach\nprocedure, the UE may request for an IP address allocation. Terminals utilising only IETF based mechanisms for IP\naddress allocation are also supported. During the Initial Attach procedure the Mobile Equipment Identity is obtained from the UE. The MME (Mobility Management Entity (core network)) operator may\ncheck the ME Identity with an EIR.
section_53_P2|parent|section_53|ROOT|220|630b9748|)) operator may\ncheck the ME Identity with an EIR. The MME passes the ME Identity (IMEISV) to the HSS (Home Subscriber Server (user database)) and to the PDN GW\nDuring the Initial Attach procedure, if the MME supports SRVCC , the MME informs the HSS with the UE SRVCC capability e.g. for further IMS (IP Multimedia Subsystem (services))\nregistration. The E-UTRAN Initial Attach procedure is used for Emergency Attach by UEs that need to perform emergency services\nbut cannot gain normal services from the network. These UEs are in limited service state Also UEs that had attached for normal services and do not have emergency bearers established and are camped on a cell\nin limited service state (e.g. restricted Tracking Area or not allowed CSG) shall initiate the Attach procedures indicating\nthat the attach is to receive emergency services. UEs that camp normally on a cell, i.e.
section_53_P3|parent|section_53|ROOT|265|a4fd64af|y services. UEs that camp normally on a cell, i.e. UEs that are not in limited\nservice state, should initiate normal initial attach when not already attached and shall initiate the UE Requested PDN\nConnectivity procedure to receive emergency EPS bearer services\nNOTE 1: A UE that is emergency attached performs initial attach procedure before being able to obtain normal\nservices. In order to limit load on the network, only when performing an E-UTRAN Attach with a new PLMN (i.e. not the\nregistered PLMN or an equivalent PLMN of the registered PLMN), a UE configured to perform Attach with IMSI (International Mobile Subscriber Identity) at\nPLMN change shall identify itself by its IMSI instead of any stored temporary identifier. This procedure is also used to establish the first PDN connection over E-UTRAN when the UE already has active PDN\nconnections over a non-3GPP access network and wants to establish simultaneous PDN connections to different APNs\nover multiple accesses. A UE, camping on an E-UTRAN cell reads the related System Information Broadcast.
section_53_P4|parent|section_53|ROOT|160|b73bc115|ll reads the related System Information Broadcast. An E-UTRAN cell for a PLMN that supports CIoT enhancements shall broadcast:\n For the NB-IoT (Internet of Things) case:\n- Whether it can connect to an MME which supports EPS Attach without PDN Connectivity. For the WB-E-UTRAN case:\n- Whether it supports Control Plane CIoT EPS Optimisation and it can connect to an MME which supports\nControl Plane CIoT EPS Optimisation. - Whether it supports User Plane CIoT EPS Optimisation and it can connect to an MME which supports User\nPlane CIoT EPS Optimisation. - Whether it can connect to an MME which supports EPS Attach without PDN Connectivity.
section_53_P5|parent|section_53|ROOT|398|efe2e6c1|hich supports EPS Attach without PDN Connectivity. If the PLMN does not advertise support of EPS attach without PDN connectivity and the UE can only attach\nwithout PDN connectivity, then the UE shall not attach to the PLMN in this cell\nIn the case of WB-E-UTRAN, if the PLMN does not support Control Plane CIoT EPS Optimisation, and the UE\nonly supports Control Plane CIoT EPS Optimisation and cannot otherwise attach, then the UE shall not proceed\nwith the Attach to the PLMN in this cell\nIf a Service Gap timer is running in the UE and the Attach Type is not Emergency Attach\nand it is not an Attach without PDN connectivity, then the UE shall not send Attach Requests to this PLMN or\nany other PLMN as long as the timer is running\nIf the UE can proceed to attach, it initiates the Attach procedure by the transmission, to the eNodeB (Evolved Node B (base station)), of an Attach\nRequest (IMSI or old GUTI (Globally Unique Temporary Identifier), Old GUTI type, last visited TAI (if available), UE Core Network Capability, UE\nSpecific DRX parameters, extended idle mode DRX parameters, Attach Type, ESM message container (Request\nType, PDN Type, Protocol Configuration Options, Ciphered Options Transfer Flag, Header Compression\nConfiguration), KSIASME, NAS (Non-Access Stratum (signaling)) sequence number, NAS-MAC, additional GUTI, P-TMSI signature, Voice\ndomain preference and UE's usage setting, Preferred Network behaviour, MS Network Capability, Support for\nrestriction of use of Enhanced Coverage) message together with RRC parameters indicating the Selected\nNetwork and the old GUMMEI.
section_53_P6|parent|section_53|ROOT|199|aac37716|ndicating the Selected\nNetwork and the old GUMMEI. In the RRC connection establishment signalling associated with the Attach Request, the UE indicates its support\nof the CIoT EPS Optimisations, relevant for MME selection. If the UE identifies itself with the old GUTI, the UE shall set the Old GUTI Type to indicate whether the Old\nGUTI is a native GUTI or is mapped from a P-TMSI and RAI. The old GUTI may be derived from a P-TMSI\nand RAI. IMSI shall be included if the UE does not have a valid GUTI or a valid P-TMSI available, or if the UE\nis configured to perform Attach with IMSI at PLMN change and is accessing a new PLMN. The UE stores the\nTIN in detached state. If the UE's TIN indicates "GUTI" or "RAT-related TMSI" and the UE holds a valid GUTI\nthen the old GUTI indicates this valid GUTI.
